measurement_time,latitude,longitude,methane3,methane4
2023-07-11 20:01:48.846000,20.088083,-99.446205,1888.0962,
2023-07-11 20:01:49.686000,20.17417,-99.24891,1899.3406,
2023-07-11 20:01:50.526000,20.223478,-99.26043,1905.6719,
2023-09-12 20:19:24.202000,19.908104,-99.20714,1927.9622,
2023-09-12 20:19:25.042000,19.950127,-99.33645,1896.6943,
2023-09-12 20:19:25.042000,19.957277,-99.217186,1925.6683,
2023-09-12 20:19:25.882000,19.999327,-99.34661,1911.0858,
2023-09-12 20:19:25.882000,20.00647,-99.22731,1917.6318,
2023-09-12 20:19:26.722000,20.048504,-99.3568,1901.2268,
2023-09-12 20:19:26.722000,20.05564,-99.237465,1902.5505,
2023-09-13 20:00:35.423000,20.059599,-99.438095,1903.1451,
2023-09-24 19:54:25.396000,19.906982,-99.21365,1911.4036,
2023-09-24 19:54:25.396000,19.9217,-99.14737,1900.4506,
2023-09-24 19:54:26.236000,19.956255,-99.225716,1918.9104,
2023-09-24 19:54:26.236000,19.970974,-99.15942,1906.1505,
2023-09-24 19:54:27.076000,20.005548,-99.23777,1914.6923,
2023-09-24 19:54:27.916000,20.039965,-99.31619,1898.3165,
2023-09-24 19:54:27.916000,20.054825,-99.249855,1908.5458,
2023-09-24 19:54:28.756000,20.10407,-99.26194,1915.595,
2023-09-24 19:54:29.596000,20.153332,-99.27402,1909.9097,
2023-09-25 19:35:47.117000,19.960295,-99.21971,1916.2734,
2023-10-31 20:00:45.932000,20.061735,-99.29128,1925.7667,
2023-10-31 20:00:46.772000,20.123217,-99.232956,1935.2008,
2023-11-07 19:29:35.558000,20.098665,-99.24057,1925.9305,
2023-11-07 19:29:35.558000,20.144062,-99.125656,1941.7307,
2023-11-15 20:19:29.271000,20.131538,-99.12778,1911.4984,
2023-11-16 20:00:31.435000,19.881916,-99.29362,1914.7635,
2023-11-16 20:00:31.435000,19.894192,-99.22412,1918.4808,
2023-11-16 20:00:32.275000,19.95568,-99.16585,1927.2905,
2023-11-16 20:00:33.955000,20.02982,-99.3284,1920.6128,
2023-11-16 20:00:33.955000,20.042097,-99.258835,1920.8949,
2023-11-16 20:00:34.795000,20.091413,-99.270386,1921.8503,
2023-11-16 20:00:34.795000,20.103598,-99.20049,1928.686,
2023-11-16 20:00:35.635000,20.152893,-99.21207,1927.175,
2023-11-16 20:00:36.475000,20.202194,-99.22362,1932.1254,
2023-11-17 19:41:48.558000,19.981327,-99.17738,1906.0386,
2023-11-17 19:41:50.238000,20.054785,-99.281876,1899.7341,
2023-11-17 19:41:50.238000,20.079561,-99.20346,1908.7476,
2023-11-17 19:41:51.078000,20.128675,-99.216484,1911.1315,
2023-11-17 19:41:51.917000,20.177742,-99.22964,1918.4866,
2023-11-17 19:41:52.757000,20.22685,-99.24272,1919.9491,
2023-11-20 20:25:40.649000,19.934027,-99.09767,1929.262,
2023-11-20 20:25:44.009000,20.130192,-99.13585,1923.3436,
2023-12-12 20:12:33.326000,19.93864,-99.15714,1912.9081,
2023-12-12 20:12:36.685000,20.12676,-99.295425,1915.7692,
2023-12-17 20:18:47.218000,20.123533,-99.3441,1918.7776,
2023-12-17 20:18:47.218000,20.130693,-99.22469,1944.3945,
2023-12-17 20:18:47.218000,20.137707,-99.10306,1933.2579,
2023-12-17 20:18:48.058000,20.179884,-99.23478,1932.2635,
2023-12-17 20:18:48.898000,20.229021,-99.24488,1921.5822,
2023-12-18 19:59:49.021000,19.892817,-99.286804,1925.9025,
2023-12-18 19:59:49.021000,19.90529,-99.21784,1921.2302,
2023-12-18 19:59:49.021000,19.91767,-99.1486,1923.5236,
2023-12-18 19:59:49.861000,19.942108,-99.2984,1927.7688,
2023-12-18 19:59:49.861000,19.954584,-99.229416,1929.0559,
2023-12-18 19:59:50.701000,19.991398,-99.31004,1926.1857,
2023-12-18 19:59:50.701000,20.003874,-99.24104,1921.9027,
2023-12-18 19:59:51.541000,20.040691,-99.32169,1906.0186,
2023-12-18 19:59:51.541000,20.05317,-99.25267,1897.2751,
2023-12-18 19:59:52.381000,20.077433,-99.402115,1907.1986,
2023-12-18 19:59:52.381000,20.090006,-99.33333,1901.925,
2023-12-18 19:59:52.381000,20.102484,-99.26428,1928.2653,
2023-12-18 19:59:52.381000,20.114864,-99.194954,1936.2651,
2023-12-18 19:59:52.381000,20.127151,-99.12533,1922.0022,
2023-12-18 19:59:53.221000,20.13932,-99.34497,1920.4161,
2023-12-18 19:59:53.221000,20.151798,-99.2759,1925.1793,
2023-12-18 19:59:53.221000,20.164179,-99.20655,1934.3258,
2023-12-19 19:41:04.382000,19.882755,-99.2527,1915.3129,
2023-12-19 19:41:04.382000,19.933538,-99.093925,1921.7327,
2023-12-19 19:41:05.222000,19.931822,-99.26582,1926.1532,
2023-12-19 19:41:06.062000,19.95485,-99.35944,1949.3799,
2023-12-19 19:41:06.062000,19.980894,-99.27896,1924.765,
2023-12-19 19:41:06.902000,20.030012,-99.29203,1903.0662,
2023-12-19 19:41:07.742000,20.079098,-99.30516,1909.0942,
2023-12-19 19:41:07.742000,20.104723,-99.22534,1926.018,
2023-12-19 19:41:07.742000,20.129929,-99.14621,1920.0958,
2023-12-19 19:41:08.582000,20.128166,-99.31833,1921.57,
2023-12-19 19:41:08.582000,20.153797,-99.23849,1927.021,
2023-12-19 19:41:09.422000,20.202875,-99.25163,1933.4893,
2023-12-19 19:41:09.422000,20.228094,-99.172455,1920.3795,
2023-12-22 20:24:58.772000,19.904852,-99.097755,1918.7458,
2023-12-28 20:12:22.773000,19.873238,-99.209114,1970.4531,
2023-12-28 20:12:22.773000,19.882126,-99.11327,1964.442,
2023-12-28 20:12:23.613000,19.931355,-99.12387,1963.7642,
2023-12-28 20:12:24.453000,19.980595,-99.13445,1959.7373,
2023-12-28 20:12:26.133000,20.05218,-99.43982,1932.8357,
2023-12-28 20:12:26.133000,20.061256,-99.34632,1949.6343,
2023-12-28 20:12:26.133000,20.07023,-99.25161,1951.8141,
2023-12-28 20:12:26.973000,20.110544,-99.35692,1934.4833,
2023-12-28 20:12:26.973000,20.119514,-99.26218,1947.2212,
2023-12-28 20:12:26.973000,20.128384,-99.16618,1941.221,
2023-12-28 20:12:27.813000,20.159763,-99.36759,1921.7397,
2023-12-28 20:12:27.813000,20.168732,-99.27282,1935.0552,
2023-12-28 20:12:28.653000,20.226845,-99.18737,1940.232,
